Frame Number,Timestamp,Video Time,Detection Class,Confidence,Bounding Box,Track ID,Camera/Source,Behavior Label,Incident Decision,Snapshot Filename
0,1783589372.0619786,00:00:00.000,Person,1.000,"225,221,243,273",0,videoplayback_15.mp4,,No,
0,1783589372.0619786,00:00:00.000,Person,1.000,"84,148,107,192",1,videoplayback_15.mp4,,No,
0,1783589372.0619786,00:00:00.000,Person,1.000,"482,239,501,287",2,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"225,221,243,273",0,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"84,148,107,192",1,videoplayback_15.mp4,,No,
1,1783589376.82727,00:00:00.040,Person,1.000,"482,239,501,287",2,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"224,218,245,267",0,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"481,239,494,289",2,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"85,151,104,190",1,videoplayback_15.mp4,,No,
2,1783589376.9468334,00:00:00.080,Person,1.000,"21,273,34,319",3,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"478,239,498,286",2,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"84,151,105,192",1,videoplayback_15.mp4,,No,
3,1783589377.0498667,00:00:00.120,Person,1.000,"248,149,270,194",4,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"251,148,269,193",4,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"481,239,496,287",2,videoplayback_15.mp4,,No,
4,1783589377.147907,00:00:00.160,Person,1.000,"83,150,102,194",1,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"389,310,403,352",5,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"480,239,496,286",2,videoplayback_15.mp4,,No,
5,1783589377.2524521,00:00:00.200,Person,1.000,"82,152,106,195",1,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"85,153,105,198",1,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"476,241,497,285",2,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"390,309,402,352",5,videoplayback_15.mp4,,No,
6,1783589377.3529902,00:00:00.240,Person,1.000,"226,209,243,256",0,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"225,208,243,254",0,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"383,306,406,352",5,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"83,154,106,202",1,videoplayback_15.mp4,,No,
7,1783589377.4575567,00:00:00.280,Person,1.000,"477,239,488,284",2,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"251,143,272,189",4,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"384,305,403,353",5,videoplayback_15.mp4,,No,
8,1783589377.5790756,00:00:00.320,Person,1.000,"82,155,103,195",1,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"382,302,404,352",5,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"83,157,100,197",1,videoplayback_15.mp4,,No,
9,1783589377.6833084,00:00:00.360,Person,1.000,"472,241,494,286",2,videoplayback_15.mp4,,No,
10,1783589377.7883482,00:00:00.400,Person,1.000,"380,301,404,351",5,videoplayback_15.mp4,,No,
10,1783589377.7883482,00:00:00.400,Person,1.000,"469,240,489,284",2,videoplayback_15.mp4,,No,
11,1783589377.8935697,00:00:00.440,Person,1.000,"379,299,404,351",5,videoplayback_15.mp4,,No,
11,1783589377.8935697,00:00:00.440,Person,1.000,"468,242,488,284",2,videoplayback_15.mp4,,No,
12,1783589377.9974046,00:00:00.480,Person,1.000,"379,299,404,351",5,videoplayback_15.mp4,,No,
12,1783589377.9974046,00:00:00.480,Person,1.000,"468,242,489,284",2,videoplayback_15.mp4,,No,
13,1783589378.1044526,00:00:00.520,Person,1.000,"466,239,483,284",2,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"618,216,634,267",6,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"467,240,479,283",2,videoplayback_15.mp4,,No,
14,1783589378.2116346,00:00:00.560,Person,1.000,"383,294,395,351",5,videoplayback_15.mp4,,No,
15,1783589378.319677,00:00:00.600,Person,1.000,"619,216,635,268",6,videoplayback_15.mp4,,No,
15,1783589378.319677,00:00:00.600,Person,1.000,"383,293,398,353",5,videoplayback_15.mp4,,No,
